id,Year,Item_number,State,Scheme,Month,Patient_Category,Services,Benefits
1,2015,0,NSW,RPBS,January,RPBS - Safety Net,6,103
2,2015,0,VIC,RPBS,January,RPBS - Ordinary,4,16
3,2015,0,VIC,RPBS,January,RPBS - Safety Net,7,241
4,2015,0,QLD,RPBS,January,RPBS - Ordinary,8,89
5,2015,0,QLD,RPBS,January,RPBS - Safety Net,8,627
6,2015,0,SA,RPBS,January,RPBS - Ordinary,1,58
7,2015,0,SA,RPBS,January,RPBS - Safety Net,1,100
8,2015,0,WA,RPBS,January,RPBS - Ordinary,1,4
9,2015,0,WA,RPBS,January,RPBS - Safety Net,6,86
10,2015,0,TAS,RPBS,January,RPBS - Safety Net,2,45
11,2015,13Q,ACT,PBS,January,General - Ordinary,5,151
12,2015,13Q,ACT,PBS,January,General - Safety Net,7,84
13,2015,13Q,ACT,PBS,January,Concessional - Ordinary,49,1175
14,2015,13Q,ACT,PBS,January,Concessional - Free Safety Net,40,982
15,2015,13Q,ACT,RPBS,January,RPBS - Ordinary,9,111
16,2015,13Q,ACT,RPBS,January,RPBS - Safety Net,11,285
17,2015,13Q,NSW,PBS,January,General - Ordinary,46,2227
18,2015,13Q,NSW,PBS,January,General - Safety Net,93,1654
19,2015,13Q,NSW,PBS,January,Concessional - Ordinary,1627,21672
20,2015,13Q,NSW,PBS,January,Concessional - Free Safety Net,1965,44662
21,2015,13Q,NSW,RPBS,January,RPBS - Ordinary,106,2280
22,2015,13Q,NSW,RPBS,January,RPBS - Safety Net,231,8090
23,2015,13Q,VIC,PBS,January,General - Ordinary,36,1474
24,2015,13Q,VIC,PBS,January,General - Safety Net,36,530
25,2015,13Q,VIC,PBS,January,Concessional - Ordinary,971,14549
26,2015,13Q,VIC,PBS,January,Concessional - Free Safety Net,1053,22730
27,2015,13Q,VIC,RPBS,January,RPBS - Ordinary,57,592
28,2015,13Q,VIC,RPBS,January,RPBS - Safety Net,95,1597
29,2015,13Q,QLD,PBS,January,General - Ordinary,13,436
30,2015,13Q,QLD,PBS,January,General - Safety Net,51,497
31,2015,13Q,QLD,PBS,January,Concessional - Ordinary,1131,9102
32,2015,13Q,QLD,PBS,January,Concessional - Free Safety Net,1535,21016
33,2015,13Q,QLD,RPBS,January,RPBS - Ordinary,117,837
34,2015,13Q,QLD,RPBS,January,RPBS - Safety Net,216,3192
35,2015,13Q,SA,PBS,January,General - Ordinary,7,1115
36,2015,13Q,SA,PBS,January,General - Safety Net,20,369
37,2015,13Q,SA,PBS,January,Concessional - Ordinary,348,3267
38,2015,13Q,SA,PBS,January,Concessional - Free Safety Net,431,6658
39,2015,13Q,SA,RPBS,January,RPBS - Ordinary,12,107
40,2015,13Q,SA,RPBS,January,RPBS - Safety Net,47,665
41,2015,13Q,WA,PBS,January,General - Ordinary,19,483
42,2015,13Q,WA,PBS,January,General - Safety Net,37,309
43,2015,13Q,WA,PBS,January,Concessional - Ordinary,410,3969
44,2015,13Q,WA,PBS,January,Concessional - Free Safety Net,508,7497
45,2015,13Q,WA,RPBS,January,RPBS - Ordinary,36,285
46,2015,13Q,WA,RPBS,January,RPBS - Safety Net,66,975
47,2015,13Q,TAS,PBS,January,General - Safety Net,6,38
48,2015,13Q,TAS,PBS,January,Concessional - Ordinary,93,670
49,2015,13Q,TAS,PBS,January,Concessional - Free Safety Net,162,2153
50,2015,13Q,TAS,RPBS,January,RPBS - Ordinary,13,96
51,2015,13Q,TAS,RPBS,January,RPBS - Safety Net,16,334
52,2015,13Q,NT,PBS,January,Concessional - Ordinary,8,56
53,2015,13Q,NT,PBS,January,Concessional - Free Safety Net,3,37
54,2015,13Q,NT,RPBS,January,RPBS - Ordinary,1,6
55,2015,13Q,NT,RPBS,January,RPBS - Safety Net,1,14
56,2015,15T,NSW,PBS,January,Concessional - Ordinary,19,179
57,2015,15T,NSW,PBS,January,Concessional - Free Safety Net,11,138
58,2015,15T,NSW,RPBS,January,RPBS - Ordinary,2,8
59,2015,15T,NSW,RPBS,January,RPBS - Safety Net,3,30
60,2015,15T,VIC,PBS,January,Concessional - Ordinary,3,19
61,2015,15T,VIC,PBS,January,Concessional - Free Safety Net,3,30
62,2015,15T,VIC,RPBS,January,RPBS - Ordinary,1,4
63,2015,15T,QLD,PBS,January,Concessional - Ordinary,18,101
64,2015,15T,QLD,PBS,January,Concessional - Free Safety Net,17,171
65,2015,15T,QLD,RPBS,January,RPBS - Ordinary,2,8
66,2015,15T,QLD,RPBS,January,RPBS - Safety Net,3,30
67,2015,15T,SA,PBS,January,Concessional - Ordinary,9,53
68,2015,15T,SA,PBS,January,Concessional - Free Safety Net,5,51
69,2015,15T,SA,RPBS,January,RPBS - Safety Net,1,10
70,2015,15T,WA,PBS,January,Concessional - Ordinary,3,12
71,2015,15T,NT,PBS,January,Concessional - Ordinary,1,4
72,2015,19B,QLD,PBS,January,Concessional - Ordinary,2,89
73,2015,22E,NSW,PBS,January,General - Ordinary,3,48
74,2015,22E,NSW,PBS,January,Concessional - Ordinary,42,758
75,2015,22E,NSW,PBS,January,Concessional - Free Safety Net,17,388
76,2015,22E,NSW,RPBS,January,RPBS - Ordinary,8,623
77,2015,22E,NSW,RPBS,January,RPBS - Safety Net,4,112
78,2015,22E,VIC,PBS,January,General - Safety Net,1,13
79,2015,22E,VIC,RPBS,January,RPBS - Ordinary,1,13
80,2015,22E,VIC,RPBS,January,RPBS - Safety Net,1,19
81,2015,22E,QLD,RPBS,January,RPBS - Ordinary,2,119
82,2015,22E,SA,PBS,January,Concessional - Ordinary,1,39
83,2015,22E,SA,RPBS,January,RPBS - Safety Net,1,25
84,2015,22E,WA,PBS,January,Concessional - Free Safety Net,1,26
85,2015,29M,NSW,RPBS,January,RPBS - Safety Net,1,14
86,2015,29M,QLD,RPBS,January,RPBS - Safety Net,1,14
87,2015,29M,SA,PBS,January,Concessional - Free Safety Net,1,20
88,2015,30N,NSW,PBS,January,Concessional - Ordinary,6,113
89,2015,30N,NSW,PBS,January,Concessional - Free Safety Net,7,173
90,2015,30N,NSW,RPBS,January,RPBS - Safety Net,1,24
91,2015,30N,VIC,PBS,January,General - Ordinary,28,675
92,2015,30N,VIC,PBS,January,General - Safety Net,12,740
93,2015,30N,VIC,PBS,January,Concessional - Ordinary,32,1843
94,2015,30N,VIC,PBS,January,Concessional - Free Safety Net,23,1583
95,2015,30N,VIC,RPBS,January,RPBS - Safety Net,1,53
96,2015,30N,QLD,PBS,January,Concessional - Ordinary,6,116
97,2015,30N,QLD,PBS,January,Concessional - Free Safety Net,2,41
98,2015,30N,TAS,PBS,January,General - Ordinary,2,46
99,2015,34T,NSW,PBS,January,Concessional - Ordinary,1,19
100,2015,34T,VIC,PBS,January,Concessional - Ordinary,4,80
101,2015,34T,VIC,PBS,January,Concessional - Free Safety Net,2,43
102,2015,34T,SA,PBS,January,Concessional - Ordinary,14,266
103,2015,34T,SA,PBS,January,Concessional - Free Safety Net,24,567
104,2015,39C,NSW,PBS,January,General - Ordinary,2,89
105,2015,39C,NSW,PBS,January,General - Safety Net,1,6
106,2015,39C,NSW,PBS,January,Concessional - Ordinary,34,327
107,2015,39C,NSW,PBS,January,Concessional - Free Safety Net,21,375
108,2015,39C,VIC,PBS,January,General - Ordinary,1,8
109,2015,39C,VIC,PBS,January,General - Safety Net,2,50
110,2015,39C,VIC,PBS,January,Concessional - Ordinary,17,423
111,2015,39C,VIC,PBS,January,Concessional - Free Safety Net,12,194
112,2015,39C,VIC,RPBS,January,RPBS - Safety Net,1,12
113,2015,39C,QLD,PBS,January,General - Safety Net,3,19
114,2015,39C,QLD,PBS,January,Concessional - Ordinary,13,125
115,2015,39C,QLD,PBS,January,Concessional - Free Safety Net,13,250
116,2015,39C,QLD,RPBS,January,RPBS - Ordinary,1,5
117,2015,39C,QLD,RPBS,January,RPBS - Safety Net,4,48
118,2015,39C,SA,PBS,January,Concessional - Ordinary,6,33
119,2015,39C,SA,PBS,January,Concessional - Free Safety Net,1,12
120,2015,39C,WA,PBS,January,General - Ordinary,3,53
121,2015,39C,WA,PBS,January,General - Safety Net,5,31
122,2015,39C,WA,PBS,January,Concessional - Ordinary,10,147
123,2015,39C,WA,PBS,January,Concessional - Free Safety Net,15,364
124,2015,39C,WA,RPBS,January,RPBS - Safety Net,3,37
125,2015,39C,TAS,PBS,January,Concessional - Ordinary,2,21
126,2015,39C,TAS,PBS,January,Concessional - Free Safety Net,2,25
127,2015,40D,NSW,PBS,January,General - Ordinary,2,144
128,2015,40D,NSW,PBS,January,Concessional - Ordinary,30,1156
129,2015,40D,NSW,PBS,January,Concessional - Free Safety Net,12,759
130,2015,40D,NSW,RPBS,January,RPBS - Ordinary,2,34
131,2015,40D,NSW,RPBS,January,RPBS - Safety Net,1,23
132,2015,40D,VIC,PBS,January,General - Ordinary,2,143
133,2015,40D,VIC,PBS,January,Concessional - Ordinary,14,451
134,2015,40D,VIC,PBS,January,Concessional - Free Safety Net,5,98
135,2015,40D,QLD,PBS,January,General - Ordinary,1,8
136,2015,40D,QLD,PBS,January,Concessional - Ordinary,4,50
137,2015,40D,QLD,PBS,January,Concessional - Free Safety Net,4,91
138,2015,40D,SA,PBS,January,Concessional - Ordinary,20,571
139,2015,40D,SA,PBS,January,Concessional - Free Safety Net,17,316
140,2015,40D,SA,RPBS,January,RPBS - Safety Net,1,23
141,2015,41E,NSW,PBS,January,Concessional - Ordinary,3,65
142,2015,41E,VIC,PBS,January,Concessional - Ordinary,3,48
143,2015,41E,QLD,PBS,January,Concessional - Ordinary,1,83
144,2015,41E,WA,PBS,January,Concessional - Ordinary,1,45
145,2015,41E,TAS,PBS,January,General - Ordinary,1,0
146,2015,42F,NSW,PBS,January,Concessional - Free Safety Net,1,38
147,2015,42F,VIC,PBS,January,General - Ordinary,15,266
148,2015,42F,VIC,PBS,January,Concessional - Ordinary,2,220
149,2015,42F,TAS,PBS,January,Concessional - Free Safety Net,1,15
150,2015,43G,ACT,PBS,January,General - Ordinary,51,2636
151,2015,43G,ACT,PBS,January,General - Safety Net,1,88
152,2015,43G,ACT,PBS,January,Concessional - Ordinary,30,1606
153,2015,43G,ACT,PBS,January,Concessional - Free Safety Net,11,542
154,2015,43G,ACT,RPBS,January,RPBS - Ordinary,2,58
155,2015,43G,ACT,RPBS,January,RPBS - Safety Net,4,123
156,2015,43G,NSW,PBS,January,General - Ordinary,65,4579
157,2015,43G,NSW,PBS,January,General - Safety Net,21,941
158,2015,43G,NSW,PBS,January,Concessional - Ordinary,262,16570
159,2015,43G,NSW,PBS,January,Concessional - Free Safety Net,218,9246
160,2015,43G,NSW,RPBS,January,RPBS - Ordinary,15,326
161,2015,43G,NSW,RPBS,January,RPBS - Safety Net,23,1018
162,2015,43G,VIC,PBS,January,General - Ordinary,27,1860
163,2015,43G,VIC,PBS,January,General - Safety Net,6,176
164,2015,43G,VIC,PBS,January,Concessional - Ordinary,171,6760
165,2015,43G,VIC,PBS,January,Concessional - Free Safety Net,139,6008
166,2015,43G,VIC,RPBS,January,RPBS - Ordinary,3,80
167,2015,43G,VIC,RPBS,January,RPBS - Safety Net,11,293
168,2015,43G,QLD,PBS,January,General - Ordinary,12,463
169,2015,43G,QLD,PBS,January,General - Safety Net,14,180
170,2015,43G,QLD,PBS,January,Concessional - Ordinary,170,2728
171,2015,43G,QLD,PBS,January,Concessional - Free Safety Net,228,4746
172,2015,43G,QLD,RPBS,January,RPBS - Ordinary,22,650
173,2015,43G,QLD,RPBS,January,RPBS - Safety Net,57,2078
174,2015,43G,SA,PBS,January,General - Ordinary,7,312
175,2015,43G,SA,PBS,January,General - Safety Net,6,127
176,2015,43G,SA,PBS,January,Concessional - Ordinary,25,711
